,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,p_gender_sdc,p_age_group_sdc,p_education_sdc,gambled_before
1876,2,3,3,3,3,3,3,2,4,2,2,4,3,3,2,4,2,3,3,7,6,1,1,4,2,0
1877,2,3,3,3,3,3,2,2,2,3,2,2,3,3,2,3,2,2,2,4,5,1,1,4, ,0
1878,2,4,4,2,2,3,2,2,2,3,1,4,3,3,1,3,2,3,2,4,3,1,1,4,2,1
1879,5,4,4,-98,3,3,2,3,2,2,2,3,2,4,3,1,4,1,3,8,10,2,1,1,2,1
1880,2,3,2,2,2,3,2,2,2,3,2,3,3,3,2,2,2,2,2,4,7,2,1,1,3,0
1881,2,3,4,1,3,3,2,2,3,2,2,2,2,4,1,4,2,3,1,8,7,1,1,3,3,0
1882,5,3,4,3,3,4,4,1,2,3,2,3,3,3,1,4,1,1,3,5,5,1,1,4,3,0
1883,2,3,3,2,4,4,2,1,1,3,2,4,4,-98,-98,4,1,3,3,6,8,3,1,2,1,1
1884,2,3,2,3,2,3,4,4,3,2,2,2,2,4,2,2,2,2,2,8,7,3,1,4,1,0
1885,4,3,2,2,2,3,2,1,2,3,2,3,2,3,2,2,2,3,3,7,8,3,1,4,1,0
1886,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,6,6,1,2,3,3,0
1887,4,3,3,3,2,3,1,3,2,4,2,4,4,3,1,1,2,2,3,4,8,1,2,3,2,0
1888,4,2,2,1,2,3,3,1,1,3,2,3,3,3,2,4,1,3,4,5,9,3,1,3,1,1
1889,4,3,3,2,2,3,3,1,1,3,2,4,4,3,1,4,1,3,3,5,7,3,1,3,1,1
1890,4,4,3,3,3,3,2,2,2,3,2,4,3,3,2,3,2,3,3,6,6,2,2,2,1,0
1891,1,2,2,2,2,2,2,1,1,4,2,3,3,2,2,3,2,3,2,7,7,3,1,2,1,1
1892,2,3,2,2,2,2,2,2,3,2,2,3,3,3,3,4,3,2,2,6,7,3,1,3,2,0
1893,2,4,3,2,3,3,2,2,2,2,2,3,2,4,3,3,3,2,1,4,3,1,1,2,2,0
1894,4,3,4,3,3,4,4,2,3,2,1,2,3,4,2,3,2,3,3,6,10,2,2,1,3,1
1895,4,4,4,3,4,4,2,1,1,2,2,4,4,1,2,4,1,4,3,5,10,3,2,2,1,1
1896,-98,2,4,3,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,2,7,3,1,1,3,1
1897,2,3,2,2,3,2,2,3,3,2,1,3,2,3,1,2,2,2,2,7,2,3,1,1,1,1
1898,4,3,3,2,3,2,3,3,3,3,1,3,2,4,1,2,3,3,3,10,10,2,1,1,3,1
1899,4,3,3,3,3,3,4,1,1,4,1,4,4,1,2,4,1,4,4,9,7,1,2,1,3,0
1900,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,6,6,2,1,2,2,1
1901,2,3,2,2,2,3,2,3,2,2,2,3,2,3,2,2,3,2,3,8,5,1,1, ,2,0
1902,4,2,4,3,3,3,2,1,2,4,2,3,4,3,3,3,2,3,3,5,5,1,2,2,3,1
1903,2,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,2,-98,2,6,6,3,2,2,3,0
1904,4,2,3,2,3,3,3,2,1,2,1,3,3,2,2,3,1,3,3,3,3,1,1,2, ,1
1905,2,3,1,1,3,3,2,2,2,2,1,2,3,3,1,2,3,3,2,9,8,2,2,1,3,1
1906,2,4,3,2,3,2,4,1,2,3,2,3,3,1,2,2,2,3,3,7,7,1,2,2,3,0
1907,2,2,4,3,3,4,3,1,2,3,2,3,3,2,2,4,2,3,3,6,3,2,1,1,3,0
1908,1,3,3,1,4,4,2,2,1,4,2,4,3,2,1,3,1,4,3,7,4,3,2,2,1,0
1909,2,3,2,1,3,4,2,1,1,3,1,4,4,2,3,4,2,3,3,3,8,1,1,2,2,1
1910,4,4,4,4,3,4,2,2,2,3,2,3,2,4,1,3,3,2,2,7,7,2,1,1,1,0
1911,4,2,3,1,3,3,4,1,2,4,2,3,4,2,1,4,1,4,4,6,10,3,2,2,1,0
1912,2,2,2,2,3,2,3,2,3,3,1,4,4,1,2,2,2,2,3,8,7,3,2,2,1,1
1913,2,2,3,2,2,3,3,2,1,4,1,4,4,2,1,3,2,3,3,7,9,3,2,3,1,1
1914,4,4,4,2,2,3,4,1,1,4,1,4,4,1,2,4,1,4,4,7,8,3,1,2,1,0
1915,4,3,3,2,2,2,3,1,1,3,1,4,4,1,1,3,1,3,4,7,7,3,2,2,1,1
1916,4,3,2,2,3,3,4,1,2,4,1,4,4,1,2,4,2,3,3,6,5,2,2,1,3,1
1917,4,4,4,3,3,3,3,1,2,4,1,3,4,3,1,3,2,2,3,3,10,1,1,3,2,0
1918,4,2,3,3,4,4,4,1,1,3,1,4,3,3,1,4,1,4,4,5,6,3,1,2,1,0
1919,4,4,3,3,3,4,2,2,3,3,2,3,3,4,1,3,3,3,2,8,7,1,1,2,2,0
1920,2,4,3,3,3,3,2,2,2,3,2,3,2,3,2,3,2,3,2,6,5,1,1,2,3,0
1921,1,4,4,4,3,4,4,1,1,4,1,4,4,1,2,4,1,4,4,5,10,1,2,2,2,0
1922,2,4,3,3,3,3,4,1,1,4,1,4,4,2,1,4,1,3,3,8,7,1,2,3,2,1
1923,2,2,4,4,2,4,1,1,1,4,1,4,4,1,1,4,1,1,4,10,4,3,1,2,1,0
1924,4,4,4,2,3,4,3,2,2,2,2,2,2,3,2,3,2,2,3,7,8,3,1,2,1,0
1925,2,2,3,2,3,2,2,2,2,2,2,3,3,3,1,2,2,2,3,8,8,3,2,1,3,0
1926,2,3,3,2,2,3,3,1,1,3,1,4,4,1,2,3,1,3,2,7,3,3,2,2,1,1
1927,2,3,3,3,3,3,2,1,3,2,2,3,3,3,3,3,3,2,2,6,7,1,2,3,2,0
1928,1,2,2,1,3,3,2,2,2,2,2,3,4,3,2,3,3,2,2,5,5,3,1,2,1,0
1929,4,4,3,2,3,3,2,1,1,3,2,4,3,4,2,4,2,3,3,7,10,3,1,2,1,1
1930,2,3,3,3,3,3,2,2,2,-98,2,3,2,3,3,3,2,2,3,8,4,3,1,1,3,0
1931,4,4,2,3,3,3,2,1,1,2,1,4,2,3,1,4,2,-98,4,7,7,1,2,3,2,1
1932,2,3,2,3,2,3,2,1,2,2,1,2,2,3,3,3,2,3,3,6,6,2,1,2,2,0
1933,2,3,4,3,2,4,2,1,1,4,1,3,4,1,2,3,1,1,3,5,6,1,2,3,3,0
1934,2,3,3,2,2,1,2,1,2,2,1,1,1,2,4,2,1,2,4,4,10,3,1,2,1,0
1935,1,3,2,2,2,3,3,2,2,2,2,4,2,3,3,2,2,2,2,5,6,3,1, ,1,1
1936,2,3,3,2,2,3,1,2,1,2,2,3,3,2,2,4,2,2,4,7,7,1,2,2,2,0
1937,1,3,2,2,2,4,2,1,1,3,1,4,4,3,2,4,2,3,3,6,6,3,2,2,1,1
1938,4,2,4,3,3,4,3,1,2,3,2,4,4,2,1,3,1,3,3,3,5,1,1,2,2,1
1939,4,3,4,1,3,3,2,1,1,2,1,3,4,3,1,3,2,3,3,6,7,3,2,1,1,0
1940,2,3,3,3,3,2,3,1,1,4,1,4,4,2,1,3,1,3,3,8,6,3,2,2,1,1
1941,5,3,4,1,4,4,4,1,1,3,1,4,3,3,1,4,1,4,4,5,8,2,1,2,1,0
1942,4,4,4,2,3,4,3,1,2,3,1,-98,2,3,1,2,1,-98,4,0,-98,1,1,1,3,0
1943,2,2,2,2,3,3,4,2,2,3,1,4,4,2,2,3,2,3,4,7,7,3,2,3,1,1
1944,4,2,3,2,3,4,3,1,1,3,2,4,3,3,2,4,2,2,4,3,7,3,2,2,1,1
1945,2,3,4,3,4,4,2,1,1,4,1,3,3,3,2,4,1,3,2,3,6,3,1,2,3,0
1946,4,4,3,3,3,3,2,2,3,3,2,3,4,2,3,3,2,3,4,7,5,2,2, ,2,0
1947,2,3,3,2,2,3,2,2,3,4,3,3,3,3,3,4,3,2,3,6,4,3,1,2,1,0
1948,2,2,1,1,2,2,3,2,2,3,2,3,3,3,2,2,3,2,3,6,6,3,1,1,1,0
1949,4,3,3,1,3,3,2,2,2,4,3,3,2,3,3,2,2,2,2,7,6,3,2,3,2,0
1950,4,3,2,3,2,3,2,3,3,2,3,2,2,4,3,2,3,2,2,8,4,1,1,3,3,0
1951,2,3,3,3,3,4,2,1,2,4,1,4,4,2,1,3,2,-98,2,7,5,3,1,2,1,1
1952,2,3,2,2,3,3,3,2,2,2,3,3,3,4,2,3,2,3,3,3,7,3,2,2,1,0
1953,1,3,3,2,2,2,3,2,2,3,1,3,3,3,2,2,2,3,3,7,6,3,2,2,1,0
1954,4,3,4,4,2,4,4,1,1,4,1,4,4,3,-98,2,2,-98,2,10,5,3,2,2,1,0
1955,2,3,4,3,3,4,4,1,1,4,1,4,4,1,1,4,1,4,4,8,10,3,2,2,1,1
1956,4,3,2,2,3,3,4,1,1,4,1,4,3,1,2,3,2,3,3,7,10,3,1,2,1,1
1957,5,4,4,4,4,4,2,1,3,4,1,4,4,2,1,4,2,4,2,5,5,1,2,3,2,0
1958,4,3,3,3,3,3,2,1,3,3,2,3,3,3,2,3,2,3,3,5,7,3,1,3,2,0
1959,4,3,3,2,3,3,3,2,2,3,2,3,3,2,2,4,2,3,4,5,7,3,2,2,1,1
1960,2,4,4,3,3,3,2,1,-98,-98,3,3,2,3,2,2,2,2,3,7,5,1,1,3,2,0
1961,2,1,1,1,1,1,4,1,1,2,1,4,2,2,2,4,1,4,4,2,1,1,2,1,2,0
1962,2,3,2,2,1,1,2,4,2,3,2,3,4,3,2,3,3,1,2,6,5,2,2,1,3,0
1963,2,3,2,2,2,3,2,2,2,3,2,4,3,3,2,4,2,3,2,6,8,2,2,2,1,0
1964,2,2,2,1,2,2,2,1,1,3,1,3,3,2,2,2,2,2,1,5,8,1,2,2,1,1
1965,2,3,3,2,2,2,3,1,3,3,1,4,4,3,2,2,4,2,1,3,3,1,1,3,3,1
1966,4,3,2,2,3,3,3,1,2,3,2,3,4,2,2,3,2,3,3,4,5,1,2,2,3,1
1967,4,4,3,3,3,3,3,2,2,4,2,3,4,3,2,3,1,3,3,5,8,1,1,2,2,1
1968,4,3,4,3,3,4,4,1,1,4,1,4,3,3,2,4,1,3,3,5,5,3,2,2, ,1
1969,2,3,3,3,2,3,2,1,3,3,3,2,2,3,1,4,1,2,3,6,9,1,2,3,2,0
1970,2,3,1,1,2,1,2,1,1,2,1,4,3,2,2,2,2,2,1,9,9,2,1,2,2,0
1971,2,3,2,2,2,3,4,1,1,4,1,3,3,2,1,4,1,3,3,7,7,2, ,2,1,1
1972,4,3,2,2,3,3,2,2,2,3,2,3,3,3,2,3,3,2,3,4,7,2,1,1,3,1
1973,4,4,4,3,4,4,2,1,1,4,1,4,4,2,3,3,3,3,2,8,6,3,2,2,1,1
1974,2,3,3,3,3,3,2,2,3,2,2,2,2,3,1,2,3,2,2,4,6,1,2,1,3,0
1975,2,3,4,3,3,3,2,2,2,3,2,3,3,2,2,3,2,3,3,5,4,1,1,2,3,1
1976,1,2,2,2,2,2,2,2,3,2,3,2,3,3,3,2,3,2,3,8,10,1,1,2,2,1
1977,2,2,3,1,3,3,3,2,2,2,2,4,3,3,1,4,1,3,3,7,7,3,1,3,1,1
1978,4,3,3,3,3,3,1,3,2,2,3,3,2,4,3,3,3,2,3,4,10,3,2,2,1,0
1979,4,3,4,3,3,3,3,1,1,4,2,4,3,2,2,3,1,3,3,2,3,1,1,2,3,0
1980,1,2,2,2,2,2,3,2,2,2,2,4,3,3,1,2,2,2,3,6,6,3,1,2,1,0
1981,2,3,2,2,2,2,3,2,2,3,3,4,3,3,1,3,2,2,3,7,6,3,2,2,2,0
1982,5,2,2,3,2,2,4,1,2,3,1,4,4,1,1,2,2,2,4,1,9,1,2,2,2,0
1983,4,2,3,3,3,2,2,1,1,2,1,4,4,1,2,2,1,3,1,4,2,3,2,2,1,1
1984,4,4,4,3,3,4,1,1,1,3,1,4,4,1,2,3,1,-98,3,6,10,1,2,2,2,0
1985,2,4,2,3,3,3,2,1,2,2,1,2,3,3,1,3,2,1,4,3,4,2,1,1,3,1
1986,4,2,4,3,3,3,2,2,1,4,2,4,4,1,1,4,1,4,3,7,7,3,2,1,1,1
1987,2,4,3,2,3,3,2,1,2,3,2,3,3,3,3,2,3,2,2,2,5,1,2,2,3,0
1988,2,4,2,3,2,2,3,1,2,3,2,3,3,3,3,3,2,2,2,3,5,1,2,3,1,0
1989,4,4,4,2,4,3,2,3,3,2,3,3,2,3,3,3,3,3,3,7,7,1,1,2,2,0
1990,4,4,3,3,3,4,3,1,2,4,1,4,3,2,2,4,1,4,4,7,8,3,1,3,1,1
1991,2,2,2,2,2,2,2,1,1,3,2,4,3,3,3,3,2,2,3,2,7,1,2,2,3,1
1992,4,2,4,3,3,3,2,2,2,2,2,3,2,3,2,2,2,2,3,8,5,3,2,2,1,1
1993,2,3,3,3,3,4,2,1,2,4,1,2,3,3,1,4,2,3,3,6,8,3,1,1,1,0
1994,2,4,3,2,3,4,3,3,1,2,2,3,4,3,3,2,2,2,4,6,5,2,2,2,1,0
1995,4,3,3,3,3,4,2,2,2,3,2,3,4,3,3,4,1,3,2,5,10,3,2,2,1,1
1996,2,3,3,4,3,4,4,1,1,4,4,4,4,4,2,4,1,3,4,5,5,3,2,2,2,1
1997,2,3,3,4,3,3,2,1,3,3,3,3,3,3,2,3,2,2,2,6,0,1,1,3,3,0
1998,4,3,4,2,3,4,3,1,1,3,2,4,4,2,2,3,2,3,3,4,6,3,2,2,1,0
1999,2,4,4,3,4,4,2,2,3,3,3,3,3,3,2,3,2,3,3,7,7,1,1,3,2,0
2000,2,3,3,4,2,3,4,2,2,3,1,3,3,3,2,3,2,3,3,5,5,3,1,2,2,0
2001,2,4,3,3,3,3,3,2,3,3,2,2,4,4,3,3,2,3,2,6,6,1,1,1,2,0
2002,2,3,2,2,3,3,2,2,2,3,3,4,3,3,2,3,2,2,3,8,7,3,2,2,1,1
2003,4,4,3,3,2,2,2,2,2,2,3,3,3,3,2,3,2,2,3,4,8,3,1,2,1,0
2004,2,2,2,2,2,2,3,2,1,3,1,4,4,2,3,3,2,2,2,5,9,3,2,2,2,1
2005,2,3,3,2,3,3,3,2,1,3,1,3,3,2,3,3,2,3,3,7,8,2,1,2, ,0
2006,2,3,2,3,3,3,3,3,3,3,2,2,3,4,3,2,3,2,2,8,5,3,1,2,2,0
2007,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,2,2,3,1,2,3,2,2,1,0
2008,2,3,2,2,2,1,2,1,1,3,1,4,4,3,1,3,2,2,3,2,8,3,2,2,1,1
2009,4,3,3,2,3,4,4,1,1,4,1,4,4,1,4,4,1,4,4,7,9,3,2,1,3,1
2010,2,4,3,3,4,4,3,1,2,4,1,4,2,3,1,3,2,4,4,8,8,1,1,1,3,1
2011,2,2,2,2,1,3,2,2,2,3,2,3,3,2,2,3,2,2,3,4,3,3,2,2,1,1
2012,1,3,3,3,2,3,2,2,3,2,1,3,4,3,2,2,3,3,2,8,9,1,2,2,2,0
2013,2,3,3,2,3,3,3,2,2,2,1,3,4,2,1,1,1,4,4,5,8,3,2,1,3,1
2014,4,4,4,3,3,3,3,1,2,4,1,2,2,3,1,3,2,3,4,7,8,3,1,1,1,1
2015,2,3,3,2,3,3,3,1,1,4,1,1,4,2,2,3,1,1,3,6,4,3,2,1,1,1
2016,4,3,3,2,3,3,2,1,2,2,3,3,2,3,3,3,2,2,3,5,8,3,2,3,1,0
2017,4,4,3,2,2,3,3,2,2,3,2,3,3,3,1,1,1,3,1,5,5,1,1,3,2,0
2018,2,4,4,3,3,3,3,2,2,1,1,2,3,3,1,4,2,3,2,7,8,3,2,2,1,0
2019,2,3,3,3,2,2,2,3,3,2,3,2,3,3,2,2,3,2,3,4,3,3,2,3,3,0
2020,2,2,2,2,2,2,2,1,2,3,2,4,4,2,2,4,1,4,4,5,10,3,1,3,1,1
2021,2,3,2,2,3,3,3,1,2,2,2,3,2,3,2,3,2,3,3,3,10,3,1,3,1,0
2022,4,3,4,3,4,4,2,2,2,4,2,4,3,4,2,4,1,3,3,4,8,2,1,1,1,1
2023,1,3,2,1,3,3,2,3,3,2,3,2,2,4,2,3,2,3,3,7,8,3,1,1,1,0
2024,4,3,2,2,3,2,2,1,2,3,2,3,4,2,1,4,2,3,3,8,8,-99,1,3,1,1
2025,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,3,3,7,1,1,1,3,1
2026,2,2,3,3,3,3,3,1,1,4,1,4,3,1,1,2,1,2,3,3,7,3,1,1,3,1
2027,2,3,2,2,1,2,2,2,3,2,2,2,3,3,1,2,3,2,2,7,8,3,2,2,1,1
2028,4,4,4,3,3,3,3,1,1,2,1,3,2,2,1,4,1,4,4,10,8,3,1,2,2,0
2029,2,2,3,1,3,3,3,1,2,3,2,3,3,3,2,4,1,3,4,8,8,3,1, ,1,1
2030,2,3,2,2,2,3,1,3,3,3,1,3,2,3,4,2,3,2,2,7,8,3,1,3,1,0
2031,2,3,2,3,3,3,2,3,2,2,3,2,3,3,2,2,3,2,2,4,5,2,2,1,1,0
2032,2,3,3,2,2,2,2,2,2,3,2,3,3,3,2,3,2,3,2,5,5,3,2,2,1,0
2033,5,4,4,2,3,3,2,2,2,2,2,3,2,2,1,2,3,2,2,8,10,1,1,2,2,0
2034,4,3,3,3,2,3,3,1,1,3,1,4,3,1,2,3,1,4,4,6,8,3,2, ,3,1
2035,2,3,3,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,3,5,5,3,2,2,1,0
2036,4,3,3,3,2,2,4,1,2,3,1,3,4,3,1,4,3,2,3,8,8,3,2,3,2,0
2037,4,4,3,3,3,3,3,1,3,3,2,2,3,4,1,3,1,3,2,5,7,3,1,1,1,1
2038,5,3,4,2,3,4,3,1,2,4,1,3,3,3,2,4,1,4,3,4,8,1,1,1,2,1
2039,2,3,2,2,2,3,2,2,1,2,2,3,2,3,2,4,3,2,2,6,7,3,1,1,1,1
2040,5,3,2,2,3,2,3,1,1,4,1,4,4,2,2,1,1,1,4,10,1,2,1,2,1,0
2041,4,3,4,3,3,2,2,1,2,3,2,3,3,3,1,3,2,3,3,6,5,1,2,1,1,1
2042,2,3,3,2,3,3,2,2,3,2,2,2,3,3,2,2,3,3,2,9,5,1,2,2,3,0
2043,1,2,2,4,2,2,1,3,3,3,3,3,4,3,1,2,3,1,3,7,6,3,1,1,1,1
2044,4,3,3,3,3,4,2,1,2,3,1,4,4,3,1,4,2,3,4,3,6,2,2,1,2,1
2045,4,3,2,3,2,2,2,1,2,2,2,3,2,3,3,3,2,3,3,7,7,1,1,3,2,0
2046,4,3,4,3,3,2,3,1,2,3,1,4,3,2,1,3,2,3,3,8,6,1,1,2,2,0
2047,2,3,3,4,4,2,3,2,4,3,1,4,3,1,2,3,2,3,3,7,8,1,2,1,3,0
2048,4,3,3,2,2,3,2,1,1,3,1,3,3,3,2,4,1,2,3,3,7,3,2,2,1,0
2049,2,3,3,3,3,3,2,1,2,4,1,3,3,3,2,3,2,3,2,7,8,3,2,2,1,0
2050,5,3,3,2,3,3,4,1,4,4,1,4,4,1,1,3,4,2,3,0,10,1,2,3,2,0
2051,2,3,4,3,3,4,2,2,2,4,2,3,3,3,2,4,2,3,3,5,6,3,1,1,1,0
2052,4,2,3,3,2,2,2,1,2,3,2,4,4,3,2,3,3,2,3,5,7,3,1,2,1,0
2053,2,3,3,3,2,2,2,2,3,2,3,2,2,4,2,2,2,2,2,7,6,3,1,3,2,0
