,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,p_gender_sdc,p_age_group_sdc,p_education_sdc,gambled_before
1696,5,2,4,1,3,3,4,1,1,4,1,4,4,2,1,4,4,3,4,6,10,1,2,4,1,1
1697,2,3,3,3,3,3,2,2,3,3,1,3,3,3,2,2,3,2,2,5,5,3,1,2,2,0
1698,2,3,2,1,3,2,2,1,3,3,1,3,3,3,3,3,3,2,2,7,8,3,1,3,1,0
1699,2,4,3,3,3,4,2,1,2,2,2,4,3,3,2,1,3,2,2,7,2,3,2,1,1,0
1700,4,3,2,3,2,3,2,2,2,3,2,3,3,3,2,2,3,3,3,6,6,3,2,3,1,0
1701,1,3,4,1,1,3,1,1,1,3,1,3,3,2,1,3,2,3,3,5,5,1,1,2,2,1
1702,2,3,3,1,2,2,3,1,1,3,1,3,4,2,1,3,1,3,2,4,6,1,2,1,3,1
1703,2,3,2,3,3,3,3,1,1,3,1,3,3,1,1,4,1,4,4,5,5,3,2,2,1,1
1704,2,4,3,4,3,4,3,1,1,4,1,4,4,2,4,4,2,4,3,7,7,3,2,2,1,0
1705,5,2,4,2,3,4,4,3,4,2,2,2,4,4,2,1,4,1,1,8,10,1,1,3,2,0
1706,2,2,3,3,2,3,2,2,2,3,2,3,3,2,2,3,2,3,2,5,8,3,1,2,3,0
1707,2,2,3,2,2,2,2,1,1,2,2,3,3,3,1,4,1,3,2,7,8,3,2,3,1,0
1708,2,3,4,3,3,3,4,1,1,3,1,3,3,3,1,3,1,2,4,2,10,3,2,3,1,0
1709,4,3,4,3,3,3,2,1,3,2,2,3,3,3,1,3,2,3,3,5,5,3,1,4,1,0
1710,4,3,3,3,2,3,2,1,2,3,1,3,3,3,2,4,2,3,3,5,7,1,1,4,3,0
1711,4,3,3,3,3,3,2,2,3,2,2,2,3,3,2,2,3,2,3,4,7,1,2,3,3,0
1712,2,4,2,3,2,2,2,3,1,4,2,2,3,3,3,2,3,3,3,1,7,3,2,2,1,0
1713,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,3,2,2,2,5,5,3,2,4,1,0
1714,2,3,2,2,-98,2,3,1,1,2,1,4,4,1,2,-98,1,2,3,4,10,2,2,2,1,0
1715,1,2,1,1,2,2,3,2,2,3,2,2,2,3,2,3,2,3,3,7,6,1,1,2,2,0
1716,4,2,3,2,2,3,3,1,2,3,2,3,3,3,2,3,1,3,3,4,7,3,2,4,1,0
1717,4,1,3,2,2,3,2,2,2,2,2,3,3,4,3,2,3,2,2,7,5,3,2,3,2,0
1718,4,3,3,4,3,4,3,1,1,4,1,4,4,1,1,2,1,3,3,3,5,1,2,4, ,0
1719,2,3,3,2,2,2,3,2,2,3,2,3,3,3,2,3,2,2,3,7,8,1,2,2,2,0
1720,5,4,4,4,3,4,2,2,3,2,2,3,3,3,1,2,3,2,2,5,5,1,2,3,2,0
1721,4,4,4,4,4,4,2,3,3,2,2,3,3,3,2,2,3,2,3,5,5,1,1,1,2,0
1722,4,3,3,3,2,2,2,2,3,4,2,4,4,3,3,4,2,3,2,7,10,3,1,2,1,0
1723,2,1,3,3,4,4,2,2,3,2,2,3,2,2,2,2,2,1,3,5,7,1,1,1,2,0
1724,1,3,2,3,1,3,3,1,1,3,2,3,4,2,2,4,1,3,3,7,6,1,1,4,2,0
1725,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2,3,2,2,9,7,3,1,1,1,0
1726,2,4,2,2,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,6,7,1,1,3,3,0
1727,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,2,2,7,8,1,1,3,2,0
1728,2,3,3,2,2,3,1,1,3,2,2,3,2,3,3,2,3,2,1,3,3,1,2,3,3,0
1729,2,3,2,3,2,3,2,1,3,2,3,3,3,3,2,4,2,2,3,5,6,1,2,3,2,0
